care_site_id,care_site_name,place_of_service_concept_id,location_id,care_site_source_value,place_of_service_source_value
10,,8717,,3900HM,Inpatient Facility
24,,8940,,283448024, 
40,,8940,,532092265, 
58,,8940,,255271799, 
75,,8756,,3900RQ,Outpatient Facility
91,,8940,,869565097, 
106,,8940,,003418024, 
123,,8940,,064448645, 
137,,8940,,211778999, 
154,,8940,,366570485, 
171,,8940,,381472165, 
184,,8940,,744077125, 
202,,8940,,020050710, 
217,,8756,,4400MM,Outpatient Facility
232,,8940,,342734585, 
248,,8940,,111974817, 
265,,8940,,909249900, 
282,,8940,,199892974, 
296,,8940,,619894521, 
313,,8940,,821293944, 
329,,8940,,666216521, 
344,,8940,,319300514, 
362,,8940,,328329241, 
377,,8940,,269040579, 
395,,8940,,296946023, 
409,,8756,,3426YK,Outpatient Facility
426,,8940,,743243083, 
440,,8940,,359396658, 
456,,8940,,532337660, 
472,,8940,,110079748, 
488,,8940,,834679430, 
506,,8940,,377616446, 
520,,8940,,469763353, 
538,,8940,,467672380, 
553,,8940,,140379853, 
569,,8940,,605613609, 
585,,8940,,069332041, 
600,,8940,,724970502, 
616,,8940,,578794428, 
632,,8940,,106405649, 
650,,8940,,213645477, 
666,,8756,,0600QS,Outpatient Facility
682,,8940,,884153311, 
694,,8940,,633057229, 
713,,8940,,840019784, 
729,,8717,,2000HG,Inpatient Facility
745,,8940,,719042112, 
761,,8940,,951383922, 
779,,8940,,211032529, 
793,,8756,,0502JT,Outpatient Facility
812,,8940,,742178893, 
826,,8940,,383189258, 
841,,8940,,204330042, 
859,,8756,,3413PN,Outpatient Facility
874,,8940,,197316910, 
890,,8940,,656728143, 
905,,8940,,445045508, 
923,,8940,,078992118, 
937,,8940,,902770473, 
953,,8940,,819769534, 
973,,8940,,579616346, 
986,,8940,,851198511, 
1001,,8756,,4504UB,Outpatient Facility
1018,,8940,,332609435, 
1034,,8940,,674170460, 
1049,,8940,,276313253, 
1066,,8940,,908420088, 
1082,,8940,,234611948, 
1099,,8940,,051128716, 
1113,,8940,,025560895, 
1131,,8940,,137411594, 
1144,,8940,,168428467, 
1162,,8940,,095727226, 
1178,,8940,,166057761, 
1190,,8940,,095735805, 
1209,,8940,,296977909, 
1227,,8940,,591142915, 
1242,,8940,,462359925, 
1258,,8940,,211327201, 
1273,,8940,,509105460, 
1290,,8940,,046301818, 
1305,,8940,,726092944, 
1323,,8756,,5213PJ,Outpatient Facility
1340,,8940,,220493373, 
