age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
55,?,151783,9th,12,Divorced,Exec-managerial,Husband,White,Male,13684,0,32,United-States,>50K
42,Private,357315,Bachelors,12,Married-civ-spouse,Sales,Unmarried,White,Male,492,0,33,United-States,<=50K
24,Private,168438,HS-grad,6,Married-civ-spouse,Craft-repair,Unmarried,Black,Female,76972,18,38,United-States,<=50K
24,Private,96982,HS-grad,10,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,32075,1,32,United-States,<=50K
32,Self-emp-not-inc,233587,Assoc-voc,6,Divorced,Tech-support,Husband,White,Male,48677,5,40,France,>50K
41,Self-emp-not-inc,106370,Some-college,14,Never-married,Adm-clerical,Husband,Black,Male,92329,24,45,United-States,<=50K
38,?,138014,Masters,11,Married-civ-spouse,Protective-serv,Husband,White,Female,3256,15,21,United-States,>50K
30,Private,118131,HS-grad,7,Never-married,Craft-repair,Own-child,Black,Female,0,804,31,United-States,>50K
27,?,86210,HS-grad,12,Never-married,Prof-specialty,Not-in-family,Black,Female,8,1359,53,United-States,<=50K
29,Private,222456,Some-college,7,Never-married,Protective-serv,Husband,Black,Male,60957,0,49,United-States,<=50K
51,Private,65779,HS-grad,12,Married-civ-spouse,Exec-managerial,Husband,White,Female,269,375,61,United-States,<=50K
19,Private,152771,9th,8,Never-married,Prof-specialty,Not-in-family,Black,Male,2471,0,43,United-States,<=50K
66,Self-emp-not-inc,168901,HS-grad,15,Widowed,Sales,Not-in-family,White,Female,54171,4,69,United-States,>50K
59,State-gov,104277,HS-grad,8,Divorced,Adm-clerical,Own-child,White,Male,83912,0,38,United-States,<=50K
23,?,249581,HS-grad,7,Never-married,?,Own-child,White,Male,2716,67,34,India,<=50K
60,Federal-gov,94652,10th,5,Married-civ-spouse,Prof-specialty,Husband,White,Female,14801,0,62,United-States,<=50K
32,Self-emp-inc,43225,Assoc-voc,9,Never-married,Craft-repair,Not-in-family,White,Male,62369,93,39,United-States,<=50K
40,Self-emp-not-inc,204856,Some-college,11,Never-married,?,Own-child,White,Male,368,0,45,Columbia,<=50K
22,Private,196665,Bachelors,10,Never-married,Sales,Own-child,White,Female,79481,1,25,United-States,<=50K
58,Private,148016,Some-college,8,Divorced,Adm-clerical,Own-child,Black,Male,63237,0,44,United-States,<=50K
36,?,182640,HS-grad,13,Never-married,Machine-op-inspct,Husband,White,Male,26579,126,51,United-States,<=50K
46,Private,82788,HS-grad,8,Divorced,Exec-managerial,Not-in-family,White,Female,51555,534,58,United-States,<=50K
37,Private,242990,Some-college,8,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Male,36194,5,48,United-States,<=50K
41,Private,196469,Bachelors,9,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,3,0,26,United-States,<=50K
43,Private,144286,7th-8th,8,Married-civ-spouse,Sales,Own-child,White,Female,14696,0,33,United-States,<=50K
64,?,118042,Masters,10,Widowed,Craft-repair,Unmarried,Black,Female,45867,0,32,United-States,<=50K
52,Private,203352,Masters,9,Married-civ-spouse,Exec-managerial,Husband,Black,Male,3485,0,29,United-States,>50K
42,Private,258386,HS-grad,9,Never-married,Prof-specialty,Husband,White,Male,61,2,40,India,<=50K
34,Private,169576,Bachelors,12,Never-married,Craft-repair,Unmarried,White,Male,42944,0,32,United-States,<=50K
38,Self-emp-inc,320711,HS-grad,16,Never-married,Adm-clerical,Husband,White,Male,4870,2,60,United-States,<=50K
61,Private,169732,Bachelors,10,Never-married,Protective-serv,Husband,Black,Female,18738,275,29,United-States,>50K
32,Private,41004,HS-grad,14,Married-civ-spouse,Sales,Husband,White,Male,37892,3,39,United-States,>50K
18,Private,99578,11th,11,Never-married,Craft-repair,Husband,White,Male,11472,0,51,United-States,<=50K
38,Private,97888,HS-grad,12,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,99719,1,47,United-States,>50K
30,Private,198101,5th-6th,6,Divorced,Other-service,Husband,Amer-Indian-Eskimo,Female,5864,0,22,United-States,<=50K
39,?,39108,Bachelors,11,Married-civ-spouse,Sales,Unmarried,White,Male,56024,2,48,United-States,<=50K
41,?,209450,HS-grad,13,Never-married,Exec-managerial,Not-in-family,White,Male,91804,0,41,United-States,>50K
37,Private,127739,Assoc-voc,7,Never-married,Exec-managerial,Own-child,White,Female,64887,0,41,United-States,<=50K
54,Private,172913,Prof-school,10,Widowed,Prof-specialty,Wife,White,Male,31913,1,39,United-States,<=50K
31,Private,49404,Some-college,11,Widowed,Craft-repair,Own-child,White,Female,46,0,42,United-States,<=50K
25,Private,175705,7th-8th,2,Married-civ-spouse,Sales,Own-child,White,Female,18448,3,35,United-States,<=50K
51,Self-emp-inc,191697,Assoc-voc,12,Separated,Sales,Not-in-family,White,Male,408,0,44,Taiwan,<=50K
40,Private,85371,Some-college,12,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,67,565,43,United-States,>50K
41,Private,248797,HS-grad,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,32,26,49,United-States,>50K
19,Local-gov,240812,HS-grad,9,Never-married,Craft-repair,Husband,Black,Female,10206,0,31,United-States,<=50K
29,Private,94331,HS-grad,11,Married-civ-spouse,Prof-specialty,Husband,White,Female,9958,324,33,United-States,<=50K
48,Private,223079,Bachelors,12,Married-civ-spouse,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,117,519,45,United-States,<=50K
69,Private,234606,HS-grad,13,Married-spouse-absent,Exec-managerial,Own-child,Black,Male,32,0,56,United-States,<=50K
32,Private,466896,11th,10,Married-spouse-absent,Prof-specialty,Husband,White,Female,1274,5,61,United-States,<=50K
53,Private,351254,HS-grad,13,Married-civ-spouse,Craft-repair,Not-in-family,Asian-Pac-Islander,Female,66753,472,50,United-States,>50K
21,Self-emp-not-inc,100973,Bachelors,11,Never-married,Craft-repair,Husband,Black,Female,24591,0,16,United-States,<=50K
47,Private,154719,HS-grad,11,Married-civ-spouse,Prof-specialty,Unmarried,White,Female,71570,205,21,United-States,<=50K
50,Private,575335,Doctorate,7,Separated,Other-service,Own-child,White,Male,74036,0,30,United-States,<=50K
49,Local-gov,107276,Some-college,9,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,54,7,54,United-States,>50K
71,Private,106807,Bachelors,12,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,70850,0,47,United-States,>50K
33,Private,137309,Masters,9,Married-spouse-absent,Prof-specialty,Unmarried,White,Male,15721,0,31,United-States,<=50K
25,Private,12285,Bachelors,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,13723,2,30,United-States,<=50K
52,Private,83531,Assoc-acdm,12,Divorced,Adm-clerical,Husband,White,Male,70320,158,72,United-States,>50K
24,Private,84061,11th,10,Never-married,Exec-managerial,Unmarried,White,Male,94066,2,45,United-States,<=50K
41,?,281714,Some-college,15,Married-civ-spouse,Adm-clerical,Husband,White,Male,84,0,44,United-States,<=50K
56,Private,279292,HS-grad,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,61538,1,34,United-States,>50K
38,Private,82312,Assoc-acdm,7,Divorced,Sales,Own-child,White,Male,93146,0,31,United-States,>50K
48,Private,156962,Doctorate,9,Divorced,Farming-fishing,Husband,White,Male,26705,0,55,Poland,>50K
34,Private,181918,Some-college,6,Never-married,?,Not-in-family,White,Female,27,27,33,United-States,<=50K
51,Local-gov,299197,Some-college,9,Married-civ-spouse,Tech-support,Husband,White,Male,11460,1,32,United-States,<=50K
38,?,175277,HS-grad,13,Married-civ-spouse,Machine-op-inspct,Own-child,White,Female,96865,0,33,United-States,>50K
47,Private,334374,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,5279,13,40,United-States,<=50K
54,Private,258359,HS-grad,6,Divorced,Farming-fishing,Husband,White,Male,99584,0,43,United-States,<=50K
46,Private,244393,Masters,11,Divorced,Exec-managerial,Husband,White,Male,84470,10,40,United-States,>50K
45,Private,129080,7th-8th,10,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,33018,0,61,United-States,<=50K
22,?,149781,10th,11,Never-married,Adm-clerical,Unmarried,Black,Female,8683,0,30,United-States,<=50K
51,Private,135670,Bachelors,9,Married-civ-spouse,?,Not-in-family,White,Male,24517,0,44,United-States,>50K
31,Private,400153,Bachelors,12,Married-civ-spouse,Craft-repair,Husband,White,Male,89289,25,27,United-States,>50K
37,Federal-gov,55457,Doctorate,9,Married-civ-spouse,?,Unmarried,Black,Female,27365,535,28,Mexico,<=50K
31,Private,211869,10th,8,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Male,66014,0,38,United-States,<=50K
23,?,251936,HS-grad,10,Never-married,?,Own-child,White,Male,65881,1,17,United-States,<=50K
29,Private,124223,HS-grad,12,Never-married,Craft-repair,Husband,White,Female,53100,5,34,United-States,<=50K
57,?,213912,HS-grad,11,Divorced,Sales,Not-in-family,White,Male,80086,216,57,United-States,>50K
38,Private,184047,HS-grad,13,Divorced,Other-service,Husband,White,Male,28180,11,33,United-States,<=50K
50,Private,65596,Masters,9,Never-married,Craft-repair,Husband,White,Male,4720,0,54,United-States,<=50K
45,Private,420492,HS-grad,12,Married-civ-spouse,Machine-op-inspct,Husband,Other,Female,73263,0,22,United-States,<=50K
46,Private,288993,Some-college,8,Divorced,Other-service,Not-in-family,White,Male,64680,310,43,United-States,<=50K
28,Private,280411,Some-college,6,Divorced,Craft-repair,Other-relative,White,Male,89900,0,36,?,<=50K
43,Local-gov,310473,Bachelors,14,Married-civ-spouse,Other-service,Not-in-family,White,Male,97671,0,52,United-States,>50K
33,Private,195898,11th,14,Married-civ-spouse,Sales,Own-child,White,Female,24993,0,34,United-States,>50K
35,?,187669,HS-grad,9,Married-civ-spouse,?,Husband,Black,Male,42574,0,49,United-States,<=50K
42,Federal-gov,161273,HS-grad,14,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,42083,0,43,United-States,<=50K
60,Private,231676,HS-grad,12,Married-civ-spouse,Sales,Not-in-family,White,Male,48354,0,44,United-States,<=50K
61,Local-gov,140274,Some-college,11,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,22713,15,40,United-States,<=50K
51,Local-gov,44291,12th,7,Married-civ-spouse,Farming-fishing,Husband,White,Female,40083,15,37,United-States,<=50K
36,Private,213715,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,29513,2,30,United-States,>50K
76,Private,81708,HS-grad,12,Divorced,Protective-serv,Unmarried,White,Male,4483,220,38,United-States,>50K
22,State-gov,169860,HS-grad,7,Never-married,Craft-repair,Unmarried,Black,Male,5561,0,19,United-States,<=50K
32,Private,45216,11th,13,Never-married,Other-service,Husband,White,Female,44,52,46,United-States,<=50K
49,Private,96456,7th-8th,9,Married-civ-spouse,Adm-clerical,Not-in-family,Other,Female,76977,0,25,United-States,<=50K
36,?,224784,Some-college,12,Married-civ-spouse,?,Not-in-family,White,Male,61097,147,37,United-States,<=50K
51,Private,48009,Bachelors,15,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,10786,0,52,United-States,<=50K
28,Private,313165,Masters,9,Married-civ-spouse,Exec-managerial,Husband,White,Female,44589,80,12,United-States,<=50K
73,Private,166568,Preschool,8,Divorced,?,Own-child,White,Female,575,1,50,United-States,<=50K
36,Private,84763,Bachelors,15,Never-married,Protective-serv,Not-in-family,White,Male,70755,7,45,United-States,>50K
